Year,Month,local_id,주거용,업무용,산업용
2019,01,11,1185166,3073583,158139
2019,01,21,410776,832108,663928
2019,01,22,287589,624067,525457
2019,01,23,364139,853145,1091839
2019,01,24,177568,369657,254248
2019,01,25,172545,500111,211934
2019,01,26,135730,371716,2506341
2019,01,31,1612446,4264425,5733529
2019,01,32,191146,919716,549600
2019,01,33,196127,722609,1545800
2019,01,34,257782,927161,3607154
2019,01,35,214101,662152,1183121
2019,01,36,210682,703482,2046577
2019,01,37,311765,1074143,2779165
2019,01,38,398723,1026839,1939332
2019,01,39,76635,257119,171241
2019,01,29,43160,110108,138756
2019,02,11,1152070,2826712,148917
2019,02,21,406636,778766,568307
2019,02,22,283729,584312,459195
2019,02,23,356468,781973,889882
2019,02,24,176590,342980,222229
2019,02,25,170717,461776,181698
2019,02,26,134533,346215,2140662
2019,02,31,1578328,3957894,5175958
2019,02,32,190820,829755,491836
2019,02,33,194241,672166,1372284
2019,02,34,255760,877494,3163776
2019,02,35,214100,631857,1052930
2019,02,36,210317,667414,1853331
2019,02,37,306834,1003113,2423526
2019,02,38,391175,971723,1680851
2019,02,39,75584,247203,182281
2019,02,29,43501,100421,122746
2019,03,11,1009646,2439889,133119
2019,03,21,351687,689707,610642
2019,03,22,246678,495691,470957
2019,03,23,310588,691932,1004226
2019,03,24,154941,300279,227388
2019,03,25,148279,411762,199914
2019,03,26,116736,349518,2343353
2019,03,31,1382953,3404518,5282477
2019,03,32,162981,691148,547286
2019,03,33,166602,567832,1511958
2019,03,34,221381,749171,3443667
2019,03,35,184898,539069,1210123
2019,03,36,181676,586078,2063776
2019,03,37,265966,884168,2718829
2019,03,38,341824,836880,1725111
2019,03,39,66245,222015,163471
2019,03,29,37891,89587,132157
2019,04,11,1055406,2401439,134706
2019,04,21,370974,680142,618119
2019,04,22,258196,488432,481943
2019,04,23,325039,656432,993953
2019,04,24,163841,297242,245823
2019,04,25,156537,399615,196986
2019,04,26,123052,322651,2231813
2019,04,31,1445524,3270111,5233081
2019,04,32,170342,657831,547865
2019,04,33,176028,550145,1498701
2019,04,34,232838,722815,3316981
2019,04,35,194688,517949,1174692
2019,04,36,190196,584183,2017533
2019,04,37,278065,838744,2646626
2019,04,38,355860,823973,1673890
2019,04,39,66887,219845,173284
2019,04,29,40099,88011,131473
2019,05,11,983667,2315208,121112
2019,05,21,344568,648735,602764
2019,05,22,240592,470905,459022
2019,05,23,302590,623156,987042
2019,05,24,153114,270223,229765
2019,05,25,143661,369290,194862
2019,05,26,114785,297155,2382355
2019,05,31,1345838,2963461,5107482
2019,05,32,155844,550659,560669
2019,05,33,161002,444955,1519723
2019,05,34,215587,632555,3446575
2019,05,35,181130,440235,1166998
2019,05,36,178778,518915,1924617
2019,05,37,259616,722768,2628629
2019,05,38,334040,747057,1583147
2019,05,39,60864,206395,145888
2019,05,29,37768,79874,132366
2019,06,11,1021355,2529701,124991
2019,06,21,348095,682930,602045
2019,06,22,245084,501858,457920
2019,06,23,307477,645952,944337
2019,06,24,154301,288455,231227
2019,06,25,145334,391939,195025
2019,06,26,116797,303524,2395069
2019,06,31,1368226,3052555,5084973
2019,06,32,154599,514289,543096
2019,06,33,162484,426519,1508130
2019,06,34,217233,592520,3443733
2019,06,35,180442,429808,1090138
2019,06,36,178182,511203,1739759
2019,06,37,261095,717987,2512402
2019,06,38,334442,760196,1542796
2019,06,39,60867,212266,130951
2019,06,29,38303,82292,134906
2019,07,11,1130245,2880319,136422
2019,07,21,358050,736313,630627
2019,07,22,255663,543541,474166
2019,07,23,333877,723987,981339
2019,07,24,161227,316480,248873
2019,07,25,150380,429432,207072
2019,07,26,118570,358031,2548353
2019,07,31,1465161,3358918,4906544
2019,07,32,157483,532498,540244
2019,07,33,168211,447025,1600067
2019,07,34,222795,617474,3635135
2019,07,35,183180,455866,1112104
2019,07,36,181959,553578,1913174
2019,07,37,268025,769321,2650870
2019,07,38,350716,799734,1658872
2019,07,39,65368,229639,125064
2019,07,29,38811,90630,144748
2019,08,11,1510847,3237107,149928
2019,08,21,488614,891152,586281
2019,08,22,356173,624556,452871
2019,08,23,456785,821144,948388
2019,08,24,217576,370470,233950
2019,08,25,206263,486627,206080
2019,08,26,164809,378911,2511066
2019,08,31,1973105,3766736,5973428
2019,08,32,206714,605679,547019
2019,08,33,229838,502789,1587913
2019,08,34,299550,681616,3630187
2019,08,35,245906,528401,1076982
2019,08,36,243184,642339,1899626
2019,08,37,365388,879200,2608202
2019,08,38,475761,921342,1571178
2019,08,39,95677,279450,132338
2019,08,29,51765,97751,139773
2019,09,11,1288905,2875060,141595
2019,09,21,445277,816122,585607
2019,09,22,309595,562055,442428
2019,09,23,390709,732586,907132
2019,09,24,196007,339582,221053
2019,09,25,188644,443811,194071
2019,09,26,152363,370866,2428126
2019,09,31,1707514,3416485,5143028
2019,09,32,182554,542006,537326
2019,09,33,201682,465757,1495536
2019,09,34,273785,638668,3340628
2019,09,35,223958,489744,1151930
2019,09,36,218185,594633,1932376
2019,09,37,312856,808989,2387684
2019,09,38,420296,862202,1531775
2019,09,39,83114,252796,125594
2019,09,29,53344,89938,133311
2019,10,11,1026727,2418848,122680
2019,10,21,361475,696456,618531
2019,10,22,249850,481810,457952
2019,10,23,313470,637657,870341
2019,10,24,158717,286473,218631
2019,10,25,148365,385116,194777
2019,10,26,121729,316418,2342365
2019,10,31,1392475,3022207,5104825
2019,10,32,160121,512813,560979
2019,10,33,166842,426077,1517280
2019,10,34,222798,588877,3330170
2019,10,35,185315,431018,1176627
2019,10,36,183547,529934,1903910
2019,10,37,268177,732999,2442552
2019,10,38,348901,758310,1564634
2019,10,39,66115,220416,116317
2019,10,29,40449,81444,138278
2019,11,11,1037161,2322409,121525
2019,11,21,361515,666657,605339
2019,11,22,254020,471628,455802
2019,11,23,319963,630910,971057
2019,11,24,159090,277372,226669
2019,11,25,150504,381283,190645
2019,11,26,121492,313149,2282181
2019,11,31,1435393,3142592,5150894
2019,11,32,169685,606722,569577
2019,11,33,173824,482812,1513636
2019,11,34,227336,656818,3454134
2019,11,35,190130,462219,1169286
2019,11,36,185786,522260,1790764
2019,11,37,277280,803686,2410168
2019,11,38,351872,780962,1595680
2019,11,39,63831,214901,125263
2019,11,29,40739,84604,138316
2019,12,11,1097870,2717669,137056
2019,12,21,377074,747569,618818
2019,12,22,265313,546723,479806
2019,12,23,340396,775877,994895
2019,12,24,166000,322187,223063
2019,12,25,157417,446472,196752
2019,12,26,125660,327832,2425069
2019,12,31,1521531,3808512,5469176
2019,12,32,178799,768219,560345
2019,12,33,182951,612727,1560025
2019,12,34,240287,811655,3448754
2019,12,35,199481,565632,1164479
2019,12,36,196135,635490,1891801
2019,12,37,291363,952286,2452276
2019,12,38,372380,900831,1738707
2019,12,39,69800,233353,136203
2019,12,29,41876,101637,135342
2020,01,11,1172543,2881635,142846
2020,01,21,409067,821868,601493
2020,01,22,285958,598938,476929
2020,01,23,363937,807766,936329
2020,01,24,179055,352544,224932
2020,01,25,170132,485405,197590
2020,01,26,135479,357451,2420906
2020,01,31,1630255,4119709,5528375
2020,01,32,193282,848597,505530
2020,01,33,197673,689404,1514057
2020,01,34,259122,896268,3416414
2020,01,35,215084,627078,1180528
2020,01,36,212957,668205,1892310
2020,01,37,311656,1016101,2432581
2020,01,38,401271,992474,1775185
2020,01,39,77692,256852,156574
2020,01,29,45624,110239,132979
2020,02,11,1164350,2735225,137815
2020,02,21,413059,781141,588016
2020,02,22,287642,565030,461895
2020,02,23,362782,765934,933616
2020,02,24,180774,336914,222378
2020,02,25,171238,462978,196622
2020,02,26,137299,353974,2216161
2020,02,31,1625298,3900613,5327913
2020,02,32,194226,810765,496663
2020,02,33,197726,641549,1465052
2020,02,34,260557,861068,3255614
2020,02,35,218731,609381,1075120
2020,02,36,216021,697869,1705166
2020,02,37,314253,963531,2285028
2020,02,38,404259,954088,1767485
2020,02,39,78516,243870,169858
2020,02,29,45959,104055,133260
2020,03,11,1096475,2430766,130202
2020,03,21,386044,675111,608954
2020,03,22,272848,462231,465485
2020,03,23,339840,685005,973137
2020,03,24,169153,299353,228379
2020,03,25,159805,413902,197621
2020,03,26,129140,327520,2399461
2020,03,31,1527652,3464703,5409496
2020,03,32,179974,681412,539481
2020,03,33,182702,562271,1546138
2020,03,34,241686,770005,3403794
2020,03,35,200545,527843,1011693
2020,03,36,198826,622026,1783065
2020,03,37,293550,802552,2384037
2020,03,38,379077,831119,1744578
2020,03,39,72711,217262,161397
2020,03,29,42995,94668,142884
2020,04,11,1098846,2193736,118383
2020,04,21,393433,638623,575011
2020,04,22,276065,434908,426838
2020,04,23,341388,613539,929895
2020,04,24,172634,281237,206787
2020,04,25,163371,375281,181677
2020,04,26,131711,304131,2266394
2020,04,31,1541011,3141585,5105893
2020,04,32,180894,607464,557647
2020,04,33,185066,493091,1477501
2020,04,34,244974,682218,3145326
2020,04,35,204818,483575,954005
2020,04,36,202124,588086,1797414
2020,04,37,296741,751334,2265206
2020,04,38,378695,784273,1572478
2020,04,39,72204,207487,165569
2020,04,29,44245,84571,135789
2020,05,11,1037109,2154002,104726
2020,05,21,364865,620515,524718
2020,05,22,256941,433360,353970
2020,05,23,323277,583374,894460
2020,05,24,162424,264957,183482
2020,05,25,151937,363337,170181
2020,05,26,122140,279365,2283492
2020,05,31,1452608,2934608,4919373
2020,05,32,168553,536248,520647
2020,05,33,172638,450278,1452145
2020,05,34,229533,623722,3066777
2020,05,35,192220,432557,922659
2020,05,36,190285,514538,1730383
2020,05,37,276647,715785,2085020
2020,05,38,356048,735619,1355196
2020,05,39,66407,200058,142109
2020,05,29,41341,80596,130364
2020,06,11,1110632,2500400,119260
2020,06,21,370519,688480,556015
2020,06,22,267361,499240,383096
2020,06,23,334429,627763,910982
2020,06,24,167027,295520,222757
2020,06,25,157068,406165,193002
2020,06,26,123228,300486,2086768
2020,06,31,1514236,3167141,5179460
2020,06,32,168054,523045,518326
2020,06,33,176651,434518,1502441
2020,06,34,233678,618249,3197747
2020,06,35,193929,439900,899726
2020,06,36,190688,515471,1655314
2020,06,37,280307,729932,2046573
2020,06,38,360528,788984,1420199
2020,06,39,67293,215903,125017
2020,06,29,42855,87812,138681
2020,07,11,1190186,2755448,128390
2020,07,21,377832,743489,580215
2020,07,22,274258,532444,415056
2020,07,23,348637,682415,931228
2020,07,24,172967,309981,240788
2020,07,25,164014,433239,202180
2020,07,26,125140,315903,2279119
2020,07,31,1580651,3399839,5425576
2020,07,32,168927,531855,517726
2020,07,33,181473,450468,1581116
2020,07,34,240709,645528,3359368
2020,07,35,195712,457269,914234
2020,07,36,194467,548852,1782607
2020,07,37,282695,767064,2231332
2020,07,38,371522,823434,1503245
2020,07,39,72471,234044,117941
2020,07,29,45058,93635,145992
2020,08,11,1381160,2928406,128966
2020,08,21,473638,843973,566173
2020,08,22,329262,585819,403844
2020,08,23,419523,733900,922306
2020,08,24,212061,340681,233186
2020,08,25,187998,464019,199815
2020,08,26,152399,346721,2372331
2020,08,31,1868562,3625838,5482051
2020,08,32,194720,581646,487142
2020,08,33,212219,478046,1566027
2020,08,34,285318,668996,3457373
2020,08,35,236676,506196,915611
2020,08,36,246561,617925,1825202
2020,08,37,345970,855845,2268418
2020,08,38,472966,933992,1433906
2020,08,39,101525,283506,126647
2020,08,29,50666,99184,144172
2020,09,11,1429411,2719212,135722
2020,09,21,511843,829863,602560
2020,09,22,366007,577850,454512
2020,09,23,434803,686796,990502
2020,09,24,232472,332533,245359
2020,09,25,218534,452290,203154
2020,09,26,177919,375828,2298114
2020,09,31,1977828,3436342,5498169
2020,09,32,212278,559408,542033
2020,09,33,235968,471552,1600342
2020,09,34,317152,664001,3382032
2020,09,35,261414,500843,1041027
2020,09,36,255819,600475,1933154
2020,09,37,362856,848896,2369615
2020,09,38,483401,886816,1601433
2020,09,39,100073,257471,124363
2020,09,29,65247,95631,149846
2020,10,11,1054269,2155341,103801
2020,10,21,364706,640624,549992
2020,10,22,254063,445042,403408
2020,10,23,324640,583936,875234
2020,10,24,162873,262700,219134
2020,10,25,151423,394125,184069
2020,10,26,122082,297534,2351153
2020,10,31,1480196,2931616,5095858
2020,10,32,167904,517361,551611
2020,10,33,172302,418416,1499909
2020,10,34,230307,596851,2892987
2020,10,35,190097,411681,993175
2020,10,36,188158,511829,1812680
2020,10,37,273999,734679,2266481
2020,10,38,351687,751071,1467455
2020,10,39,66005,210047,114717
2020,10,29,44175,82974,138912
2020,11,11,1085618,2250356,114704
2020,11,21,375466,649313,599100
2020,11,22,264569,472083,454070
2020,11,23,338975,631356,915120
2020,11,24,167079,277441,236914
2020,11,25,158121,361679,193930
2020,11,26,124906,304818,2283424
2020,11,31,1544219,3207661,5390699
2020,11,32,178181,614284,568186
2020,11,33,183232,500796,1575081
2020,11,34,240430,666792,3101524
2020,11,35,198827,470294,1026348
2020,11,36,195813,568581,1652599
2020,11,37,287765,796227,2372228
2020,11,38,366075,822359,1659380
2020,11,39,67901,218533,124988
2020,11,29,44455,91407,152192
2020,12,11,1162100,2604402,131463
2020,12,21,397009,760474,620748
2020,12,22,276798,553546,487188
2020,12,23,362643,739667,989429
2020,12,24,175508,316752,242353
